raw,clean
"15,000 and below",15K or less
"15,001 to 25,000",15K+ to 25K
"25,001 to 35,000",25K+ to 35K
"35,001 to 45,000",35K+ to 45K
"45,001 to 55, 000",45K+ to 55K
"55,001 to 65,000",55K+ to 65K
"65,001 to 75,000",65K+ to 75K
"75,001 to 85,000",75K+ to 85K
"85,001 to 95,000",85K+ to 95K
"95,001 to 100,000",95K+ to 100K
"100,001 to 125,000",a. 100K+ to 125K
"125,001 to 250, 000",b. 125K+ to 250K
"250,001 and above",c. 250K+
